Branch,Net_Sales,Orders,Discount_Amount
Roastery,74928.38656,4051,8085.3034
Wady branche,181817.4673,10541,6872.08624
Ber Asker,60735.73895,3920,1534.69548
Markeb,87662.2581,5697,3789.04321
HOBONA Fran,115073.3,6994,6457.99933
Fran GIWILLA,71027.21535,4910,2572.78236
Jazan Fran,33667.39132,2641,840.43472
ABHA Fran,62973.39153,4309,2286.60861
RABEGH Fran,91752.78731,7529,5364.60822
SHARORA Fran,77114.43334,5484,3126.43456
Turbaa Fran,21180.43397,1381,457.82611
HAFERAL-BATEN Fran,11382.86971,906,237.13044
Arrisa -Fran,116270.8658,9010,5110.86936
kamisMshit Fran,48641.82637,3479,1500.7825
Makkah-ZAIDI Fran,23613.21758,1997,585.04346
Khobash Fran,60036.95198,3604,369.13045
Tbouk-alBowady Fran,69923.99476,5168,1372.52159
Tabouk-Sultana Fran,66054.43024,4716,1942.95645
Yadma Fran,55591.82224,3147,1550.78249
Rejla fran,122698.0851,6879,3321.04318
kamis aldiafa fran,52932.34699,3429,5686.78269
Taslal,6568.95633,451,119.73912
magara,189527.6888,8519,6220.12996
jarir,93153.7389,5120,9441.04304
SAGER,142762.3421,8896,5308.0867
Al-azzam mall,38426.52088,1688,610.00003
al-hussien,161442.0802,9021,5548.34735
AirPort,154336.7774,8930,6685.82553
Rose,36106.43374,2041,938.78258
PARK VIEW,54718.52011,3153,2651.91283
SHORFA,171501.969,11867,8515.41434
Nafora fran,67814.60755,3358,2187.99984
Sarat Ebida,82053.12702,4149,1320.78249
